rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0.5,12,33,23,130,0.696969696969697,0.17692307692307693,25
1.0,18,49,23,142,0.4693877551020408,0.1619718309859155,0
1.5,32,85,40,275,0.4705882352941176,0.14545454545454545,5
2.0,36,93,40,286,0.4301075268817205,0.13986013986013987,0
2.5,45,122,47,344,0.38524590163934425,0.13662790697674418,0
3.0,67,182,93,705,0.510989010989011,0.13191489361702127,0
0.5,18,48,34,117,0.7083333333333334,0.2905982905982906,2
1.0,20,56,47,169,0.8392857142857143,0.2781065088757396,2
1.5,47,129,98,371,0.7596899224806202,0.2641509433962264,2
2.0,58,155,115,441,0.7419354838709677,0.2607709750566893,2
2.5,79,213,154,600,0.7230046948356808,0.25666666666666665,2
3.0,76,206,155,602,0.7524271844660194,0.2574750830564784,2
